Grid scores on development set:

0.129 (+/-0.017) for {'kernel': 'linear', 'gamma': 8.0, 'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2}
0.814 (+/-0.034) for {'kernel': 'poly', 'gamma': 8.0, 'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 8.0, 'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2}
0.129 (+/-0.017) for {'kernel': 'linear', 'gamma': 2.0, 'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2}
0.591 (+/-0.052) for {'kernel': 'poly', 'gamma': 2.0, 'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 2.0, 'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2}
0.129 (+/-0.017) for {'kernel': 'linear', 'gamma': 0.5, 'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2}
0.346 (+/-0.037) for {'kernel': 'poly', 'gamma': 0.5, 'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.5, 'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2}
0.129 (+/-0.017) for {'kernel': 'linear', 'gamma': 0.125, 'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2}
0.107 (+/-0.003) for {'kernel': 'poly', 'gamma': 0.125, 'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.125, 'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2}
0.129 (+/-0.017) for {'kernel': 'linear', 'gamma': 0.03125, 'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2}
0.107 (+/-0.003) for {'kernel': 'poly', 'gamma': 0.03125, 'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.03125, 'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2}
0.129 (+/-0.017) for {'kernel': 'linear', 'gamma': 0.0078125, 'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2}
